"",BBSSY.D.REN.EUR.A630.000000WT1010.A,BBSSY.D.REN.EUR.A630.000000WT1010.A_FLAGS,BBSSY.D.REN.EUR.A620.000000WT0505.A,BBSSY.D.REN.EUR.A620.000000WT0505.A_FLAGS,BBSSY.D.REN.EUR.A610.000000WT0202.A,BBSSY.D.REN.EUR.A610.000000WT0202.A_FLAGS
"",Daily yield of the current 10 year federal bond,,Daily yield of the current five-year Federal notes,,Daily yield of the current (two-year) Federal Treasury notes,
unit,PROZENT,,PROZENT,,PROZENT,
unit multiplier,one,,one,,one,
last update,2024-04-29 12:32:56,,2024-04-29 12:32:55,,2024-04-29 12:32:41,
2009-03-09,2.91,,2.06,,,
2009-03-10,2.95,,2.13,,,
2009-03-11,3.07,,2.23,,,
2009-03-12,3.01,,2.18,,,
2009-03-13,3.08,,2.22,,,
2009-03-14,.,No value available,.,No value available,,
2009-03-15,.,No value available,.,No value available,,
2009-03-16,3.13,,2.28,,,
2009-03-17,3.15,,2.24,,,
2009-03-18,3.22,,2.31,,,
2009-03-19,3.06,,2.23,,,
2009-03-20,3.02,,2.20,,,
2009-03-21,.,No value available,.,No value available,,
2009-03-22,.,No value available,.,No value available,,
2009-03-23,3.00,,2.19,,,
2009-03-24,3.12,,2.32,,,
2009-03-25,3.16,,2.44,,,
2009-03-26,3.15,,2.45,,,
2009-03-27,3.10,,2.34,,,
2009-03-28,.,No value available,.,No value available,,
2009-03-29,.,No value available,.,No value available,,
2009-03-30,3.04,,2.25,,,
2009-03-31,3.02,,2.25,,,
2009-04-01,2.98,,2.21,,,
2009-04-02,3.01,,2.22,,,
2009-04-03,3.15,,2.43,,,
2009-04-04,.,No value available,.,No value available,,
2009-04-05,.,No value available,.,No value available,,
2009-04-06,3.24,,2.28,,,
2009-04-07,3.21,,2.44,,,
2009-04-08,3.18,,2.40,,,
2009-04-09,3.26,,2.46,,,
2009-04-10,.,No value available,.,No value available,,
2009-04-11,.,No value available,.,No value available,,
2009-04-12,.,No value available,.,No value available,,
2009-04-13,.,No value available,.,No value available,,
2009-04-14,3.19,,2.35,,,
2009-04-15,3.17,,2.34,,,
2009-04-16,3.18,,2.35,,,
2009-04-17,3.19,,2.36,,,
2009-04-18,.,No value available,.,No value available,,
2009-04-19,.,No value available,.,No value available,,
2009-04-20,3.23,,2.42,,,
2009-04-21,3.13,,2.37,,,
2009-04-22,3.14,,2.34,,,
2009-04-23,3.22,,2.44,,,
2009-04-24,3.20,,2.41,,,
2009-04-25,.,No value available,.,No value available,,
2009-04-26,.,No value available,.,No value available,,
2009-04-27,3.14,,2.33,,,
2009-04-28,3.12,,2.33,,,
2009-04-29,3.20,,2.39,,,
2009-04-30,3.20,,2.38,,,
2009-05-01,.,No value available,.,No value available,,
2009-05-02,.,No value available,.,No value available,,
2009-05-03,.,No value available,.,No value available,,
2009-05-04,3.20,,2.35,,,
2009-05-05,3.24,,2.42,,,
2009-05-06,3.23,,2.41,,,
2009-05-07,3.32,,2.48,,,
2009-05-08,3.43,,2.53,,,
2009-05-09,.,No value available,.,No value available,,
2009-05-10,.,No value available,.,No value available,,
2009-05-11,3.41,,2.49,,,
2009-05-12,3.40,,2.54,,,
2009-05-13,3.41,,2.49,,,
2009-05-14,3.33,,2.42,,,
2009-05-15,3.28,,2.36,,,
2009-05-16,.,No value available,.,No value available,,
2009-05-17,.,No value available,.,No value available,,
2009-05-18,3.34,,2.40,,,
2009-05-19,3.42,,2.49,,,
2009-05-20,3.51,,2.54,,,
2009-05-21,3.50,,2.51,,,
2009-05-22,3.51,,2.51,,,
2009-05-23,.,No value available,.,No value available,,
2009-05-24,.,No value available,.,No value available,,
2009-05-25,3.60,,2.64,,,
2009-05-26,3.59,,2.63,,,
2009-05-27,3.65,,2.70,,,
2009-05-28,3.68,,2.72,,,
2009-05-29,3.60,,2.64,,,
2009-05-30,.,No value available,.,No value available,,
2009-05-31,.,No value available,.,No value available,,
2009-06-01,3.61,,2.64,,,
2009-06-02,3.65,,2.67,,,
2009-06-03,3.59,,2.59,,,
2009-06-04,3.58,,2.63,,,
2009-06-05,3.66,,2.75,,,
2009-06-06,.,No value available,.,No value available,,
2009-06-07,.,No value available,.,No value available,,
2009-06-08,3.70,,2.87,,,
2009-06-09,3.67,,2.85,,,
2009-06-10,3.67,,2.86,,,
2009-06-11,3.70,,2.86,,,
2009-06-12,3.60,,2.80,,,
2009-06-13,.,No value available,.,No value available,,
2009-06-14,.,No value available,.,No value available,,
2009-06-15,3.56,,2.75,,,
2009-06-16,3.54,,2.73,,,
2009-06-17,3.49,,2.66,,,
2009-06-18,3.49,,2.66,,,
2009-06-19,3.57,,2.69,,,
2009-06-20,.,No value available,.,No value available,,
2009-06-21,.,No value available,.,No value available,,
2009-06-22,3.48,,2.62,,,
2009-06-23,3.47,,2.59,,,
2009-06-24,3.46,,2.57,,,
2009-06-25,3.44,,2.51,,,
2009-06-26,3.44,,2.51,,,
2009-06-27,.,No value available,.,No value available,,
2009-06-28,.,No value available,.,No value available,,
2009-06-29,3.38,,2.48,,,
2009-06-30,3.38,,2.48,,,
2009-07-01,3.40,,2.49,,,
2009-07-02,3.40,,2.46,,,
2009-07-03,3.33,,2.39,,,
2009-07-04,.,No value available,.,No value available,,
2009-07-05,.,No value available,.,No value available,,
2009-07-06,3.31,,2.37,,,
2009-07-07,3.33,,2.39,,,
2009-07-08,3.27,,2.33,,,
2009-07-09,3.26,,2.34,,,
2009-07-10,3.30,,2.36,,,
2009-07-11,.,No value available,.,No value available,,
2009-07-12,.,No value available,.,No value available,,
2009-07-13,3.25,,2.33,,,
2009-07-14,3.33,,2.41,,,
2009-07-15,3.34,,2.42,,,
2009-07-16,3.38,,2.47,,,
2009-07-17,3.33,,2.40,,,
2009-07-18,.,No value available,.,No value available,,
2009-07-19,.,No value available,.,No value available,,
2009-07-20,3.44,,2.52,,,
2009-07-21,3.41,,2.47,,,
2009-07-22,3.37,,2.44,,,
2009-07-23,3.41,,2.47,,,
2009-07-24,3.49,,2.55,,,
2009-07-25,.,No value available,.,No value available,,
2009-07-26,.,No value available,.,No value available,,
2009-07-27,3.50,,2.58,,,
2009-07-28,3.48,,2.57,,,
2009-07-29,3.43,,2.53,,,
2009-07-30,3.46,,2.54,,,
2009-07-31,3.37,,2.47,,,
2009-08-01,.,No value available,.,No value available,,
2009-08-02,.,No value available,.,No value available,,
2009-08-03,3.31,,2.41,,,
2009-08-04,3.33,,2.47,,,
2009-08-05,3.35,,2.53,,,
2009-08-06,3.34,,2.54,,,
2009-08-07,3.37,,2.57,,,
2009-08-08,.,No value available,.,No value available,,
2009-08-09,.,No value available,.,No value available,,
2009-08-10,3.49,,2.68,,,
2009-08-11,3.50,,2.67,,,
2009-08-12,3.43,,2.58,,,
2009-08-13,3.48,,2.61,,,
2009-08-14,3.38,,2.53,,,
2009-08-15,.,No value available,.,No value available,,
2009-08-16,.,No value available,.,No value available,,
2009-08-17,3.29,,2.43,,,
2009-08-18,3.32,,2.48,,,
2009-08-19,3.26,,2.40,,,
2009-08-20,3.26,,2.38,,,
2009-08-21,3.27,,2.40,,,
2009-08-22,.,No value available,.,No value available,,
2009-08-23,.,No value available,.,No value available,,
2009-08-24,3.33,,2.46,,,
2009-08-25,3.29,,2.41,,,
2009-08-26,3.26,,2.38,,,
2009-08-27,3.24,,2.37,,,
2009-08-28,3.28,,2.39,,,
2009-08-29,.,No value available,.,No value available,,
2009-08-30,.,No value available,.,No value available,,
2009-08-31,3.24,,2.36,,,
2009-09-01,3.24,,2.34,,,
2009-09-02,3.21,,2.30,,,
2009-09-03,3.27,,2.36,,,
2009-09-04,3.26,,2.33,,,
2009-09-05,.,No value available,.,No value available,,
2009-09-06,.,No value available,.,No value available,,
2009-09-07,3.26,,2.30,,,
2009-09-08,3.25,,2.30,,,
2009-09-09,3.27,,2.29,,,
2009-09-10,3.37,,2.35,,,
2009-09-11,3.28,,2.29,,,
2009-09-12,.,No value available,.,No value available,,
2009-09-13,.,No value available,.,No value available,,
2009-09-14,3.25,,2.30,,,
2009-09-15,3.29,,2.33,,,
2009-09-16,3.29,,2.31,,,
2009-09-17,3.36,,2.39,,,
2009-09-18,3.32,,2.35,,,
2009-09-19,.,No value available,.,No value available,,
2009-09-20,.,No value available,.,No value available,,
2009-09-21,3.38,,2.41,,,
2009-09-22,3.42,,2.43,,,
2009-09-23,3.41,,2.54,,,
2009-09-24,3.33,,2.47,,,
2009-09-25,3.28,,2.42,,,
2009-09-26,.,No value available,.,No value available,,
2009-09-27,.,No value available,.,No value available,,
2009-09-28,3.25,,2.40,,,
2009-09-29,3.26,,2.41,,,
2009-09-30,3.23,,2.42,,,
2009-10-01,3.24,,2.43,,,
2009-10-02,3.13,,2.31,,,
2009-10-03,.,No value available,.,No value available,,
2009-10-04,.,No value available,.,No value available,,
2009-10-05,3.13,,2.31,,,
2009-10-06,3.14,,2.31,,,
2009-10-07,3.14,,2.31,,,
2009-10-08,3.12,,2.29,,,
2009-10-09,3.16,,2.34,,,
2009-10-10,.,No value available,.,No value available,,
2009-10-11,.,No value available,.,No value available,,
2009-10-12,3.22,,2.42,,,
2009-10-13,3.16,,2.35,,,
2009-10-14,3.20,,2.37,,,
2009-10-15,3.28,,2.45,,,
2009-10-16,3.31,,2.48,,,
2009-10-17,.,No value available,.,No value available,,
2009-10-18,.,No value available,.,No value available,,
2009-10-19,3.31,,2.51,,,
2009-10-20,3.27,,2.46,,,
2009-10-21,3.28,,2.45,,,
2009-10-22,3.29,,2.47,,,
2009-10-23,3.32,,2.50,,,
2009-10-24,.,No value available,.,No value available,,
2009-10-25,.,No value available,.,No value available,,
2009-10-26,3.37,,2.53,,,
2009-10-27,3.33,,2.50,,,
2009-10-28,3.25,,2.41,,,
2009-10-29,3.27,,2.43,,,
2009-10-30,3.28,,2.46,,,
2009-10-31,.,No value available,.,No value available,,
2009-11-01,.,No value available,.,No value available,,
2009-11-02,3.23,,2.43,,,
2009-11-03,3.20,,2.36,,,
2009-11-04,3.30,,2.44,,,
2009-11-05,3.33,,2.47,,,
2009-11-06,3.34,,2.49,,,
2009-11-07,.,No value available,.,No value available,,
2009-11-08,.,No value available,.,No value available,,
2009-11-09,3.36,,2.47,,,
2009-11-10,3.28,,2.41,,,
2009-11-11,3.36,,2.44,,,
2009-11-12,3.32,,2.41,,,
2009-11-13,3.34,,2.40,,,
2009-11-14,.,No value available,.,No value available,,
2009-11-15,.,No value available,.,No value available,,
2009-11-16,3.32,,2.38,,,
2009-11-17,3.32,,2.39,,,
2009-11-18,3.29,,2.36,,,
2009-11-19,3.30,,2.38,,,
2009-11-20,3.27,,2.35,,,
2009-11-21,.,No value available,.,No value available,,
2009-11-22,.,No value available,.,No value available,,
2009-11-23,3.27,,2.40,,,
2009-11-24,3.26,,2.38,,,
2009-11-25,3.25,,2.36,,,
2009-11-26,3.21,,2.29,,,
2009-11-27,3.15,,2.23,,,
2009-11-28,.,No value available,.,No value available,,
2009-11-29,.,No value available,.,No value available,,
2009-11-30,3.15,,2.23,,,
2009-12-01,3.17,,2.24,,,
2009-12-02,3.18,,2.24,,,
2009-12-03,3.20,,2.30,,,
2009-12-04,3.17,,2.24,,,
2009-12-05,.,No value available,.,No value available,,
2009-12-06,.,No value available,.,No value available,,
2009-12-07,3.21,,2.33,,,
2009-12-08,3.18,,2.24,,,
2009-12-09,3.14,,2.20,,,
2009-12-10,3.16,,2.20,,,
2009-12-11,3.21,,2.28,,,
2009-12-12,.,No value available,.,No value available,,
2009-12-13,.,No value available,.,No value available,,
2009-12-14,3.18,,2.25,,,
2009-12-15,3.19,,2.23,,,
2009-12-16,3.23,,2.27,,,
2009-12-17,3.17,,2.19,,,
2009-12-18,3.14,,2.17,,,
2009-12-19,.,No value available,.,No value available,,
2009-12-20,.,No value available,.,No value available,,
2009-12-21,3.15,,2.17,,,
2009-12-22,3.23,,2.24,,,
2009-12-23,3.28,,2.26,,,
2009-12-24,.,No value available,.,No value available,,
2009-12-25,.,No value available,.,No value available,,
2009-12-26,.,No value available,.,No value available,,
2009-12-27,.,No value available,.,No value available,,
2009-12-28,3.35,,2.35,,,
2009-12-29,3.35,,2.38,,,
2009-12-30,3.37,,2.40,,,
2009-12-31,.,No value available,.,No value available,,
2010-01-01,.,No value available,.,No value available,,
2010-01-02,.,No value available,.,No value available,,
2010-01-03,.,No value available,.,No value available,,
2010-01-04,3.40,,2.43,,,
2010-01-05,3.41,,2.44,,,
2010-01-06,3.39,,2.40,,,
2010-01-07,3.38,,2.39,,,
2010-01-08,3.39,,2.41,,,
2010-01-09,.,No value available,.,No value available,,
2010-01-10,.,No value available,.,No value available,,
2010-01-11,3.38,,2.40,,,
2010-01-12,3.32,,2.33,,,
2010-01-13,3.33,,2.45,,,
2010-01-14,3.32,,2.43,,,
2010-01-15,3.28,,2.39,,,
2010-01-16,.,No value available,.,No value available,,
2010-01-17,.,No value available,.,No value available,,
2010-01-18,3.25,,2.36,,,
2010-01-19,3.29,,2.40,,,
2010-01-20,3.26,,2.37,,,
2010-01-21,3.22,,2.32,,,
2010-01-22,3.20,,2.28,,,
2010-01-23,.,No value available,.,No value available,,
2010-01-24,.,No value available,.,No value available,,
2010-01-25,3.22,,2.31,,,
2010-01-26,3.19,,2.26,,,
2010-01-27,3.21,,2.32,,,
2010-01-28,3.23,,2.30,,,
2010-01-29,3.20,,2.29,,,
2010-01-30,.,No value available,.,No value available,,
2010-01-31,.,No value available,.,No value available,,
2010-02-01,3.19,,2.27,,,
2010-02-02,3.21,,2.29,,,
2010-02-03,3.23,,2.32,,,
2010-02-04,3.22,,2.30,,,
2010-02-05,3.12,,2.17,,,
2010-02-06,.,No value available,.,No value available,,
2010-02-07,.,No value available,.,No value available,,
2010-02-08,3.12,,2.17,,,
2010-02-09,3.16,,2.19,,,
2010-02-10,3.24,,2.26,,,
2010-02-11,3.23,,2.28,,,
2010-02-12,3.21,,2.24,,,
2010-02-13,.,No value available,.,No value available,,
2010-02-14,.,No value available,.,No value available,,
2010-02-15,3.20,,2.23,,,
2010-02-16,3.20,,2.22,,,
2010-02-17,3.20,,2.22,,,
2010-02-18,3.21,,2.23,,,
2010-02-19,3.28,,2.30,,,
2010-02-20,.,No value available,.,No value available,,
2010-02-21,.,No value available,.,No value available,,
2010-02-22,3.28,,2.29,,,
2010-02-23,3.25,,2.23,,,
2010-02-24,3.14,,2.16,,,
2010-02-25,3.11,,2.13,,,
2010-02-26,3.11,,2.13,,,
2010-02-27,.,No value available,.,No value available,,
2010-02-28,.,No value available,.,No value available,,
2010-03-01,3.12,,2.15,,,
2010-03-02,3.11,,2.13,,,
2010-03-03,3.12,,2.14,,,
2010-03-04,3.15,,2.18,,,
2010-03-05,3.12,,2.13,,,
2010-03-06,.,No value available,.,No value available,,
2010-03-07,.,No value available,.,No value available,,
2010-03-08,3.16,,2.16,,,
2010-03-09,3.14,,2.15,,,
2010-03-10,3.13,,2.14,,,
2010-03-11,3.16,,2.18,,,
2010-03-12,3.19,,2.20,,,
2010-03-13,.,No value available,.,No value available,,
2010-03-14,.,No value available,.,No value available,,
2010-03-15,3.15,,2.18,,,
2010-03-16,3.17,,2.20,,,
2010-03-17,3.13,,2.13,,,
2010-03-18,3.10,,2.11,,,
2010-03-19,3.11,,2.13,,,
2010-03-20,.,No value available,.,No value available,,
2010-03-21,.,No value available,.,No value available,,
2010-03-22,3.09,,2.12,,,
2010-03-23,3.06,,2.10,,,
2010-03-24,3.06,,2.11,,,
2010-03-25,3.11,,2.16,,,
2010-03-26,3.15,,2.21,,,
2010-03-27,.,No value available,.,No value available,,
2010-03-28,.,No value available,.,No value available,,
2010-03-29,3.15,,2.20,,,
2010-03-30,3.12,,2.16,,,
2010-03-31,3.10,,2.15,,,
2010-04-01,3.10,,2.14,,,
2010-04-02,.,No value available,.,No value available,,
2010-04-03,.,No value available,.,No value available,,
2010-04-04,.,No value available,.,No value available,,
2010-04-05,.,No value available,.,No value available,,
2010-04-06,3.15,,2.19,,,
2010-04-07,3.12,,2.15,,,
2010-04-08,3.09,,2.10,,,
2010-04-09,3.13,,2.15,,,
2010-04-10,.,No value available,.,No value available,,
2010-04-11,.,No value available,.,No value available,,
2010-04-12,3.19,,2.23,,,
2010-04-13,3.17,,2.20,,,
2010-04-14,3.15,,2.20,,,
2010-04-15,3.12,,2.17,,,
2010-04-16,3.11,,2.14,,,
2010-04-17,.,No value available,.,No value available,,
2010-04-18,.,No value available,.,No value available,,
2010-04-19,3.07,,2.09,,,
2010-04-20,3.10,,2.12,,,
2010-04-21,3.10,,2.10,,,
2010-04-22,3.07,,2.08,,,
2010-04-23,3.09,,2.11,,,
2010-04-24,.,No value available,.,No value available,,
2010-04-25,.,No value available,.,No value available,,
2010-04-26,3.04,,2.07,,,
2010-04-27,3.04,,2.05,,,
2010-04-28,3.01,,1.96,,,
2010-04-29,3.05,,2.00,,,
2010-04-30,3.05,,2.00,,,
2010-05-01,.,No value available,.,No value available,,
2010-05-02,.,No value available,.,No value available,,
2010-05-03,3.04,,1.99,,,
2010-05-04,3.01,,1.93,,,
2010-05-05,2.91,,1.85,,,
2010-05-06,2.91,,1.80,,,
2010-05-07,2.73,,1.59,,,
2010-05-08,.,No value available,.,No value available,,
2010-05-09,.,No value available,.,No value available,,
2010-05-10,2.97,,1.86,,,
2010-05-11,2.88,,1.72,,,
2010-05-12,2.94,,1.75,,,
2010-05-13,2.94,,1.74,,,
2010-05-14,2.88,,1.66,,,
2010-05-15,.,No value available,.,No value available,,
2010-05-16,.,No value available,.,No value available,,
2010-05-17,2.87,,1.69,,,
2010-05-18,2.87,,1.67,,,
2010-05-19,2.77,,1.59,,,
2010-05-20,2.77,,1.61,,,
2010-05-21,2.68,,1.51,,,
2010-05-22,.,No value available,.,No value available,,
2010-05-23,.,No value available,.,No value available,,
2010-05-24,2.65,,1.52,,,
2010-05-25,2.57,,1.42,,,
2010-05-26,2.65,,1.50,,,
2010-05-27,2.67,,1.52,,,
2010-05-28,2.70,,1.58,,,
2010-05-29,.,No value available,.,No value available,,
2010-05-30,.,No value available,.,No value available,,
2010-05-31,2.67,,1.56,,,
2010-06-01,2.60,,1.49,,,
2010-06-02,2.64,,1.54,,,
2010-06-03,2.71,,1.60,,,
2010-06-04,2.67,,1.56,,,
2010-06-05,.,No value available,.,No value available,,
2010-06-06,.,No value available,.,No value available,,
2010-06-07,2.57,,1.43,,,
2010-06-08,2.52,,1.39,,,
2010-06-09,2.52,,1.41,,,
2010-06-10,2.58,,1.48,,,
2010-06-11,2.62,,1.51,,,
2010-06-12,.,No value available,.,No value available,,
2010-06-13,.,No value available,.,No value available,,
2010-06-14,2.62,,1.50,,,
2010-06-15,2.67,,1.52,,,
2010-06-16,2.66,,1.50,,,
2010-06-17,2.68,,1.53,,,
2010-06-18,2.68,,1.55,,,
2010-06-19,.,No value available,.,No value available,,
2010-06-20,.,No value available,.,No value available,,
2010-06-21,2.76,,1.64,,,
2010-06-22,2.70,,1.59,,,
2010-06-23,2.67,,1.57,,,
2010-06-24,2.61,,1.50,,,
2010-06-25,2.60,,1.49,,,
2010-06-26,.,No value available,.,No value available,,
2010-06-27,.,No value available,.,No value available,,
2010-06-28,2.62,,1.50,,,
2010-06-29,2.53,,1.42,,,
2010-06-30,2.57,,1.45,,,
2010-07-01,2.59,,1.49,,,
2010-07-02,2.56,,1.48,,,
2010-07-03,.,No value available,.,No value available,,
2010-07-04,.,No value available,.,No value available,,
2010-07-05,2.55,,1.46,,,
2010-07-06,2.59,,1.50,,,
2010-07-07,2.57,,1.48,,,
2010-07-08,2.60,,1.53,,,
2010-07-09,2.66,,1.59,,,
2010-07-10,.,No value available,.,No value available,,
2010-07-11,.,No value available,.,No value available,,
2010-07-12,2.59,,1.54,,,
2010-07-13,2.63,,1.56,,,
2010-07-14,2.66,,1.60,,,
2010-07-15,2.66,,1.62,,,
2010-07-16,2.65,,1.63,,,
2010-07-17,.,No value available,.,No value available,,
2010-07-18,.,No value available,.,No value available,,
2010-07-19,2.61,,1.64,,,
2010-07-20,2.65,,1.65,,,
2010-07-21,2.66,,1.62,,,
2010-07-22,2.63,,1.59,,,
2010-07-23,2.69,,1.66,,,
2010-07-24,.,No value available,.,No value available,,
2010-07-25,.,No value available,.,No value available,,
2010-07-26,2.72,,1.68,,,
2010-07-27,2.75,,1.75,,,
2010-07-28,2.77,,1.77,,,
2010-07-29,2.74,,1.73,,,
2010-07-30,2.68,,1.66,,,
2010-07-31,.,No value available,.,No value available,,
2010-08-01,.,No value available,.,No value available,,
2010-08-02,2.70,,1.69,,,
2010-08-03,2.67,,1.65,,,
2010-08-04,2.59,,1.55,,,
2010-08-05,2.60,,1.58,,,
2010-08-06,2.57,,1.56,,,
2010-08-07,.,No value available,.,No value available,,
2010-08-08,.,No value available,.,No value available,,
2010-08-09,2.52,,1.52,,,
2010-08-10,2.54,,1.51,,,
2010-08-11,2.49,,1.44,,,
2010-08-12,2.42,,1.38,,,
2010-08-13,2.43,,1.39,,,
2010-08-14,.,No value available,.,No value available,,
2010-08-15,.,No value available,.,No value available,,
2010-08-16,2.35,,1.34,,,
2010-08-17,2.36,,1.37,,,
2010-08-18,2.37,,1.33,,,
2010-08-19,2.36,,1.34,,,
2010-08-20,2.29,,1.30,,,
2010-08-21,.,No value available,.,No value available,,
2010-08-22,.,No value available,.,No value available,,
2010-08-23,2.29,,1.29,,,
2010-08-24,2.24,,1.26,,,
2010-08-25,2.18,,1.24,,,
2010-08-26,2.16,,1.24,,,
2010-08-27,2.11,,1.21,,,
2010-08-28,.,No value available,.,No value available,,
2010-08-29,.,No value available,.,No value available,,
2010-08-30,2.17,,1.24,,,
2010-08-31,2.10,,1.20,,,
2010-09-01,2.17,,1.23,,,
2010-09-02,2.23,,1.30,,,
2010-09-03,2.29,,1.30,,,
2010-09-04,.,No value available,.,No value available,,
2010-09-05,.,No value available,.,No value available,,
2010-09-06,2.32,,1.29,,,
2010-09-07,2.28,,1.25,,,
2010-09-08,2.21,,1.18,,,
2010-09-09,2.32,,1.30,,,
2010-09-10,2.34,,1.32,,,
2010-09-11,.,No value available,.,No value available,,
2010-09-12,.,No value available,.,No value available,,
2010-09-13,2.45,,1.40,,,
2010-09-14,2.36,,1.32,,,
2010-09-15,2.38,,1.37,,,
2010-09-16,2.44,,1.45,,,
2010-09-17,2.48,,1.49,,,
2010-09-18,.,No value available,.,No value available,,
2010-09-19,.,No value available,.,No value available,,
2010-09-20,2.47,,1.48,,,
2010-09-21,2.49,,1.49,,,
2010-09-22,2.34,,1.52,,,
2010-09-23,2.29,,1.45,,,
2010-09-24,2.29,,1.44,,,
2010-09-25,.,No value available,.,No value available,,
2010-09-26,.,No value available,.,No value available,,
2010-09-27,2.30,,1.42,,,
2010-09-28,2.24,,1.43,,,
2010-09-29,2.24,,1.43,,,
2010-09-30,2.22,,1.43,,,
2010-10-01,2.32,,1.52,,,
2010-10-02,.,No value available,.,No value available,,
2010-10-03,.,No value available,.,No value available,,
2010-10-04,2.25,,1.45,,,
2010-10-05,2.24,,1.44,,,
2010-10-06,2.25,,1.43,,,
2010-10-07,2.26,,1.45,,,
2010-10-08,2.27,,1.44,,,
2010-10-09,.,No value available,.,No value available,,
2010-10-10,.,No value available,.,No value available,,
2010-10-11,2.28,,1.43,,,
2010-10-12,2.22,,1.36,,,
2010-10-13,2.30,,1.45,,,
2010-10-14,2.29,,1.44,,,
2010-10-15,2.32,,1.45,,,
2010-10-16,.,No value available,.,No value available,,
2010-10-17,.,No value available,.,No value available,,
2010-10-18,2.37,,1.49,,,
2010-10-19,2.40,,1.56,,,
2010-10-20,2.40,,1.56,,,
2010-10-21,2.45,,1.63,,,
2010-10-22,2.47,,1.67,,,
2010-10-23,.,No value available,.,No value available,,
2010-10-24,.,No value available,.,No value available,,
2010-10-25,2.46,,1.66,,,
2010-10-26,2.50,,1.69,,,
2010-10-27,2.56,,1.76,,,
2010-10-28,2.56,,1.75,,,
2010-10-29,2.54,,1.72,,,
2010-10-30,.,No value available,.,No value available,,
2010-10-31,.,No value available,.,No value available,,
2010-11-01,2.47,,1.67,,,
2010-11-02,2.45,,1.67,,,
2010-11-03,2.45,,1.65,,,
2010-11-04,2.49,,1.67,,,
2010-11-05,2.37,,1.52,,,
2010-11-06,.,No value available,.,No value available,,
2010-11-07,.,No value available,.,No value available,,
2010-11-08,2.39,,1.55,,,
2010-11-09,2.37,,1.52,,,
2010-11-10,2.45,,1.59,,,
2010-11-11,2.40,,1.52,,,
2010-11-12,2.44,,1.57,,,
2010-11-13,.,No value available,.,No value available,,
2010-11-14,.,No value available,.,No value available,,
2010-11-15,2.55,,1.67,,,
2010-11-16,2.57,,1.67,,,
2010-11-17,2.59,,1.71,,,
2010-11-18,2.65,,1.79,,,
2010-11-19,2.68,,1.81,,,
2010-11-20,.,No value available,.,No value available,,
2010-11-21,.,No value available,.,No value available,,
2010-11-22,2.71,,1.83,,,
2010-11-23,2.62,,1.74,,,
2010-11-24,2.61,,1.66,,,
2010-11-25,2.73,,1.76,,,
2010-11-26,2.69,,1.75,,,
2010-11-27,.,No value available,.,No value available,,
2010-11-28,.,No value available,.,No value available,,
2010-11-29,2.75,,1.76,,,
2010-11-30,2.69,,1.70,,,
2010-12-01,2.75,,1.76,,,
2010-12-02,2.83,,1.83,,,
2010-12-03,2.83,,1.81,,,
2010-12-04,.,No value available,.,No value available,,
2010-12-05,.,No value available,.,No value available,,
2010-12-06,2.83,,1.76,,,
2010-12-07,2.89,,1.80,,,
2010-12-08,2.99,,1.92,,,
2010-12-09,2.97,,1.96,,,
2010-12-10,2.96,,1.97,,,
2010-12-11,.,No value available,.,No value available,,
2010-12-12,.,No value available,.,No value available,,
2010-12-13,2.97,,2.00,,,
2010-12-14,2.97,,1.99,,,
2010-12-15,3.02,,2.05,,,
2010-12-16,3.02,,2.05,,,
2010-12-17,3.04,,2.05,,,
2010-12-18,.,No value available,.,No value available,,
2010-12-19,.,No value available,.,No value available,,
2010-12-20,2.99,,1.99,,,
2010-12-21,2.96,,1.95,,,
2010-12-22,2.98,,1.95,,,
2010-12-23,2.94,,1.86,,,
2010-12-24,.,No value available,.,No value available,,
2010-12-25,.,No value available,.,No value available,,
2010-12-26,.,No value available,.,No value available,,
2010-12-27,3.04,,1.96,,,
2010-12-28,2.97,,1.87,,,
2010-12-29,3.00,,1.89,,,
2010-12-30,2.98,,1.84,,,
2010-12-31,.,No value available,.,No value available,,
2011-01-01,.,No value available,.,No value available,,
2011-01-02,.,No value available,.,No value available,,
2011-01-03,2.94,,1.82,,,
2011-01-04,2.94,,1.80,,,
2011-01-05,2.88,,1.77,,,
2011-01-06,2.97,,1.89,,,
2011-01-07,2.92,,1.84,,,
2011-01-08,.,No value available,.,No value available,,
2011-01-09,.,No value available,.,No value available,,
2011-01-10,2.88,,1.81,,,
2011-01-11,2.86,,1.77,,,
2011-01-12,2.96,,1.99,,,
2011-01-13,3.02,,2.06,,,
2011-01-14,3.04,,2.18,,,
2011-01-15,.,No value available,.,No value available,,
2011-01-16,.,No value available,.,No value available,,
2011-01-17,3.02,,2.15,,,
2011-01-18,3.08,,2.22,,,
2011-01-19,3.11,,2.24,,,
2011-01-20,3.12,,2.22,,,
2011-01-21,3.17,,2.33,,,
2011-01-22,.,No value available,.,No value available,,
2011-01-23,.,No value available,.,No value available,,
2011-01-24,3.17,,2.34,,,
2011-01-25,3.11,,2.29,,,
2011-01-26,3.17,,2.36,,,
2011-01-27,3.18,,2.41,,,
2011-01-28,3.20,,2.41,,,
2011-01-29,.,No value available,.,No value available,,
2011-01-30,.,No value available,.,No value available,,
2011-01-31,3.15,,2.41,,,
2011-02-01,3.19,,2.40,,,
2011-02-02,3.21,,2.42,,,
2011-02-03,3.25,,2.45,,,
